Date,Directories,Files,"Lines of Code (LOC)","Cyclomatic Complexity / Lines of Code","Comment Lines of Code (CLOC)","Non-Comment Lines of Code (NCLOC)",Namespaces,Interfaces,Traits,Classes,"Abstract Classes","Concrete Classes","Average Class Length (NCLOC)",Methods,"Non-Static Methods","Static Methods","Public Methods","Non-Public Methods","Average Method Length (NCLOC)","Cyclomatic Complexity / Number of Methods","Anonymous Functions",Functions,Constants,"Global Constants","Class Constants"
"Tue Feb 14 23:26:55 2012 +0700",128,620,215030,0.062265000264788,63966,151064,0,7,0,963,12,951,159.60539979232,5489,5061,428,4905,584,28.001457460375,2.6693386773547,0,35,111,83,28
"Sun Feb 12 21:04:35 2012 -0430",126,618,214605,0.062318398322962,63863,150742,0,7,0,958,12,946,160.10334029228,5477,5084,393,4895,582,28.004199379222,2.6708051853204,0,35,111,83,28
"Fri Feb 10 17:26:05 2012 +0100",126,614,212416,0.062719568773633,63260,149156,0,7,0,951,12,939,159.56677181914,5405,5013,392,4824,581,28.075485661425,2.6860314523589,0,35,110,82,28
"Sat Feb 4 11:03:01 2012 -0500",126,613,212121,0.062719009706913,63155,148966,0,7,0,950,12,938,159.53578947368,5400,5008,392,4819,581,28.066481481481,2.6853703703704,0,35,110,82,28
"Mon Jan 30 22:29:52 2012 -0500",126,613,212006,0.062737617045287,63132,148874,0,7,0,950,12,938,159.43368421053,5397,5005,392,4816,581,28.064109690569,2.6857513433389,0,35,110,82,28
"Sat Jan 28 09:12:53 2012 -0800",124,606,211869,0.062768817204301,63069,148800,0,7,0,949,12,937,159.5416227608,5397,5005,392,4816,581,28.053548267556,2.6857513433389,0,35,110,82,28
"Wed Jan 25 12:43:55 2012 +0100",124,606,211702,0.062780842190233,63042,148660,0,7,0,949,12,937,159.38988408851,5393,5001,392,4812,581,28.047654366772,2.6857036899685,0,35,110,82,28
"Sun Jan 22 12:52:00 2012 -0800",122,605,211579,0.062811652523839,62976,148603,0,7,0,948,12,936,159.49578059072,5388,4996,392,4807,581,28.06273199703,2.6870824053452,0,35,111,83,28
"Sun Jan 15 01:03:48 2012 +0100",122,605,209572,0.063079726899328,62520,147052,0,7,0,944,12,932,158.46716101695,5318,4929,389,4742,576,28.129559984957,2.6983828506958,0,35,111,83,28
"Sun Jan 8 20:12:40 2012 -0430",122,604,209215,0.062970782537629,62385,146830,0,7,0,943,12,931,158.4019088017,5306,4923,383,4739,567,28.151715039578,2.6965699208443,0,35,111,83,28
"Thu Dec 29 11:15:37 2011 -0500",122,603,209164,0.062911290652206,62370,146794,0,7,0,943,12,931,158.38388123012,5305,4923,382,4739,566,28.153817153629,2.6957587181904,0,35,111,83,28
"Thu Jan 5 19:56:01 2012 -0430",122,603,208787,0.063013997802393,62264,146523,0,7,0,943,12,931,158.07953340403,5293,4913,380,4728,565,28.163423389382,2.6992253920272,0,35,111,83,28
"Thu Dec 22 03:15:04 2011 +0530",120,598,207221,0.063113132367893,61657,145564,0,6,0,937,12,925,158.02454642476,5233,4854,379,4673,560,28.295241735142,2.7099178291611,0,35,111,83,28
"Sat Dec 17 22:14:58 2011 -0500",120,598,206913,0.063136161866419,61608,145305,0,6,0,937,12,925,157.74279615795,5227,4848,379,4667,560,28.277214463363,2.7093935335757,0,35,111,83,28
"Sat Oct 8 15:14:17 2011 -0400",120,598,206841,0.063162604984166,61581,145260,0,6,0,937,12,925,157.69370330843,5222,4843,379,4663,559,28.295480658751,2.7112217541172,0,35,111,83,28
"Thu Sep 1 20:00:56 2011 +0100",120,597,206484,0.063174145880861,61393,145091,0,6,0,936,12,924,157.66346153846,5206,4827,379,4649,557,28.346715328467,2.7147522089896,0,35,108,83,25
"Mon Dec 5 12:17:28 2011 +0100",120,593,205079,0.063369976072407,60894,144185,0,5,0,929,11,918,157.86329386437,5170,4791,379,4613,557,28.366537717602,2.721083172147,0,35,108,83,25
